title,cover,city,region,address,rooms_desc,area_range,all_ready,price,hourseDecoration,company,hourseType,on_time,open_date,tags,totalPrice_range,sale_status,detail_url
石榴·翡翠山,https://image1.ljcdn.com/hdic-resblock/3275aee7-14bd-46db-8277-6f823ab3ded5.jpg,保定,竞秀区,乐凯大街石榴·翡翠山,"[""2"", ""3"", ""4""]","[""39"", ""68""]",1,8000,毛坯,保定荔枝房地产开发有限公司,商业类,2018-09-11 11:06:19,2018-08-01,"[""\u7eff\u5316\u7387\u9ad8"", ""\u5927\u578b\u793e\u533a"", ""\u54c1\u724c\u623f\u4f01"", ""\u5c0f\u6237\u578b""]","[""85""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
隆基泰和铂悦山,https://image1.ljcdn.com/hdic-resblock/a6e00971-1c06-4606-a068-15984e107f98.jpg,保定,涿州,琉璃河隆基泰和铂悦山,"[""3""]","[""101"", ""125""]",1,12000,毛坯,涿州长隆房地产开发有限公司,住宅,2019-01-11 10:42:55,2019-06-15,"[""\u7eff\u5316\u7387\u9ad8"", ""\u4eba\u8f66\u5206\u6d41"", ""\u54c1\u724c\u623f\u4f01"", ""\u5927\u4e09\u5c45""]","[""116"", ""164""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
鹏渤·印象城,https://image1.ljcdn.com/newhouse-user-image/phpYmT19X1543392878.png,保定,涿州,龙马路鹏渤·印象城,"[""2"", ""3""]","[""80"", ""121""]",1,8500,毛坯,涿州市飞腾房地产开发有限公司,住宅,2019-01-11 10:44:18,2020-10-01,"[""\u4f4e\u5355\u4ef7"", ""\u4f4e\u603b\u4ef7"", ""\u7eff\u5316\u7387\u9ad8"", ""\u4eba\u8f66\u5206\u6d41""]","[""70"", ""98""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
IFC国际金融中心,https://image1.ljcdn.com/newhouse-user-image/04ccf0cf759977112ab7229415a497dc.jpg,保定,涿州,鹏程大街IFC国际金融中心,"[""1"", ""2"", ""3""]","[""37"", ""96""]",1,7500,毛坯,涿州千喜鹤房地产开发有限公司,商业类,2019-12-02 17:50:28,2020-05-28,"[""\u4eba\u8f66\u5206\u6d41"", ""\u5927\u578b\u793e\u533a"", ""\u516c\u4ea4\u76f4\u8fbe"", ""\u5c0f\u6237\u578b""]","[""29"", ""76""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
华侨城·城市客厅,https://image1.ljcdn.com/newhouse-user-image/d5baae2eb29db340d05234dcc9e69116.jpg,保定,涿州,河北省保定市涿州市,"[""2"", ""3"", ""4""]","[""85"", ""128""]",1,9000,毛坯,华侨城涿州文化旅游开发有限公司,住宅,2021-04-07 10:46:44,2021-07-15,"[""\u7eff\u5316\u7387\u9ad8"", ""\u4eba\u8f66\u5206\u6d41"", ""\u56fd\u592e\u4f01"", ""\u54c1\u724c\u623f\u4f01""]","[""65"", ""150""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
金域中央,https://image1.ljcdn.com/newhouse-user-image/f9dc103a12e18c26bbb9344e5c7cfede.jpg,保定,涿州,东大街金域中央,"[""2"", ""3""]","[""84"", ""114""]",1,9000,毛坯,涿州市联合房地产开发有限公司,住宅,0000-00-00 00:00:00,2021-01-21,"[""\u4f4e\u603b\u4ef7"", ""\u7eff\u5316\u7387\u9ad8"", ""\u5c01\u95ed\u7ba1\u7406"", ""\u516c\u4ea4\u76f4\u8fbe""]","[""84.52"", ""102""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
天保智慧城,https://image1.ljcdn.com/newhouse-user-image/71fa1598714a32950d5f03171c88a067.jpg,保定,涿州,高新区永济东路北侧、鹏程大街东侧,"[""""]","[""""]",1,5500,毛坯,天保房地产集团有限公司,商业,0000-00-00 00:00:00,2023-04-01,"[""\u8f66\u4f4d\u5145\u8db3"", ""\u5c0f\u578b\u793e\u533a"", ""\u54c1\u724c\u623f\u4f01"", ""\u5373\u5c06\u4ea4\u623f""]","[""24""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
京涿和樾湾,https://image1.ljcdn.com/newhouse-user-image/73ca9af7605a611a9ee9009db45caa29.jpg,保定,涿州,河北省保定市涿州市北港村,"[""2"", ""3""]","[""79"", ""120""]",1,0,毛坯,涿州市华隆众达房地产开发有限公司,住宅,0000-00-00 00:00:00,,"[""\u7eff\u5316\u7387\u9ad8"", ""\u4eba\u8f66\u5206\u6d41"", ""\u5065\u8eab\u8dd1\u9053"", ""\u6c34\u7cfb\u56ed\u6797""]","[""0""]",1,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
中国铁建樾府国际,https://image1.ljcdn.com/newhouse-user-image/0399705da76a57bd4976939dbfe8136b.jpg,保定,涿州,龙马路与腾飞大街交叉口东北侧,"[""2"", ""3""]","[""81"", ""119""]",1,9700,非毛坯,涿州荣富房地产开发有限公司,住宅,0000-00-00 00:00:00,2021-11-10,"[""\u7eff\u5316\u7387\u9ad8"", ""\u4eba\u8f66\u5206\u6d41"", ""\u56fd\u592e\u4f01"", ""\u54c1\u724c\u623f\u4f01""]","[""89"", ""145""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
天地新城,https://image1.ljcdn.com/hdic-resblock/5e71573a-e704-40e2-bf6a-aa29cccfd111.jpg,保定,涿州,冠云路与火炬南街交叉口南行300米,"[""3"", ""4""]","[""87"", ""145""]",1,8500,毛坯,北京田家园房地产开发有限公司涿州分公司,住宅,2017-03-16 15:21:35,2020-09-02,"[""\u4f4e\u5355\u4ef7"", ""\u4f4e\u603b\u4ef7"", ""\u7eff\u5316\u7387\u9ad8"", ""\u4eba\u8f66\u5206\u6d41""]","[""68"", ""142""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
石榴·翡翠山,https://image1.ljcdn.com/hdic-resblock/3275aee7-14bd-46db-8277-6f823ab3ded5.jpg,保定,竞秀区,乐凯大街石榴·翡翠山,"[""2"", ""3"", ""4""]","[""39"", ""68""]",1,8000,毛坯,保定荔枝房地产开发有限公司,商业类,2018-09-11 11:06:19,2018-08-01,"[""\u7eff\u5316\u7387\u9ad8"", ""\u5927\u578b\u793e\u533a"", ""\u54c1\u724c\u623f\u4f01"", ""\u5c0f\u6237\u578b""]","[""85""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
隆基泰和铂悦山,https://image1.ljcdn.com/hdic-resblock/a6e00971-1c06-4606-a068-15984e107f98.jpg,保定,涿州,琉璃河隆基泰和铂悦山,"[""3""]","[""101"", ""125""]",1,12000,毛坯,涿州长隆房地产开发有限公司,住宅,2019-01-11 10:42:55,2019-06-15,"[""\u7eff\u5316\u7387\u9ad8"", ""\u4eba\u8f66\u5206\u6d41"", ""\u54c1\u724c\u623f\u4f01"", ""\u5927\u4e09\u5c45""]","[""116"", ""164""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
鹏渤·印象城,https://image1.ljcdn.com/newhouse-user-image/phpYmT19X1543392878.png,保定,涿州,龙马路鹏渤·印象城,"[""2"", ""3""]","[""80"", ""121""]",1,8500,毛坯,涿州市飞腾房地产开发有限公司,住宅,2019-01-11 10:44:18,2020-10-01,"[""\u4f4e\u5355\u4ef7"", ""\u4f4e\u603b\u4ef7"", ""\u7eff\u5316\u7387\u9ad8"", ""\u4eba\u8f66\u5206\u6d41""]","[""70"", ""98""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
IFC国际金融中心,https://image1.ljcdn.com/newhouse-user-image/04ccf0cf759977112ab7229415a497dc.jpg,保定,涿州,鹏程大街IFC国际金融中心,"[""1"", ""2"", ""3""]","[""37"", ""96""]",1,7500,毛坯,涿州千喜鹤房地产开发有限公司,商业类,2019-12-02 17:50:28,2020-05-28,"[""\u4eba\u8f66\u5206\u6d41"", ""\u5927\u578b\u793e\u533a"", ""\u516c\u4ea4\u76f4\u8fbe"", ""\u5c0f\u6237\u578b""]","[""29"", ""76""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
华侨城·城市客厅,https://image1.ljcdn.com/newhouse-user-image/d5baae2eb29db340d05234dcc9e69116.jpg,保定,涿州,河北省保定市涿州市,"[""2"", ""3"", ""4""]","[""85"", ""128""]",1,9000,毛坯,华侨城涿州文化旅游开发有限公司,住宅,2021-04-07 10:46:44,2021-07-15,"[""\u7eff\u5316\u7387\u9ad8"", ""\u4eba\u8f66\u5206\u6d41"", ""\u56fd\u592e\u4f01"", ""\u54c1\u724c\u623f\u4f01""]","[""65"", ""150""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
金域中央,https://image1.ljcdn.com/newhouse-user-image/f9dc103a12e18c26bbb9344e5c7cfede.jpg,保定,涿州,东大街金域中央,"[""2"", ""3""]","[""84"", ""114""]",1,9000,毛坯,涿州市联合房地产开发有限公司,住宅,0000-00-00 00:00:00,2021-01-21,"[""\u4f4e\u603b\u4ef7"", ""\u7eff\u5316\u7387\u9ad8"", ""\u5c01\u95ed\u7ba1\u7406"", ""\u516c\u4ea4\u76f4\u8fbe""]","[""84.52"", ""102""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
天保智慧城,https://image1.ljcdn.com/newhouse-user-image/71fa1598714a32950d5f03171c88a067.jpg,保定,涿州,高新区永济东路北侧、鹏程大街东侧,"[""""]","[""""]",1,5500,毛坯,天保房地产集团有限公司,商业,0000-00-00 00:00:00,2023-04-01,"[""\u8f66\u4f4d\u5145\u8db3"", ""\u5c0f\u578b\u793e\u533a"", ""\u54c1\u724c\u623f\u4f01"", ""\u5373\u5c06\u4ea4\u623f""]","[""24""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
京涿和樾湾,https://image1.ljcdn.com/newhouse-user-image/73ca9af7605a611a9ee9009db45caa29.jpg,保定,涿州,河北省保定市涿州市北港村,"[""2"", ""3""]","[""79"", ""120""]",1,0,毛坯,涿州市华隆众达房地产开发有限公司,住宅,0000-00-00 00:00:00,,"[""\u7eff\u5316\u7387\u9ad8"", ""\u4eba\u8f66\u5206\u6d41"", ""\u5065\u8eab\u8dd1\u9053"", ""\u6c34\u7cfb\u56ed\u6797""]","[""0""]",1,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
中国铁建樾府国际,https://image1.ljcdn.com/newhouse-user-image/0399705da76a57bd4976939dbfe8136b.jpg,保定,涿州,龙马路与腾飞大街交叉口东北侧,"[""2"", ""3""]","[""81"", ""119""]",1,9700,非毛坯,涿州荣富房地产开发有限公司,住宅,0000-00-00 00:00:00,2021-11-10,"[""\u7eff\u5316\u7387\u9ad8"", ""\u4eba\u8f66\u5206\u6d41"", ""\u56fd\u592e\u4f01"", ""\u54c1\u724c\u623f\u4f01""]","[""89"", ""145""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
天地新城,https://image1.ljcdn.com/hdic-resblock/5e71573a-e704-40e2-bf6a-aa29cccfd111.jpg,保定,涿州,冠云路与火炬南街交叉口南行300米,"[""3"", ""4""]","[""87"", ""145""]",1,8500,毛坯,北京田家园房地产开发有限公司涿州分公司,住宅,2017-03-16 15:21:35,2020-09-02,"[""\u4f4e\u5355\u4ef7"", ""\u4f4e\u603b\u4ef7"", ""\u7eff\u5316\u7387\u9ad8"", ""\u4eba\u8f66\u5206\u6d41""]","[""68"", ""142""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
石榴·翡翠山,https://image1.ljcdn.com/hdic-resblock/3275aee7-14bd-46db-8277-6f823ab3ded5.jpg,保定,竞秀区,乐凯大街石榴·翡翠山,"[""2"", ""3"", ""4""]","[""39"", ""68""]",1,8000,毛坯,保定荔枝房地产开发有限公司,商业类,2018-09-11 11:06:19,2018-08-01,"[""\u7eff\u5316\u7387\u9ad8"", ""\u5927\u578b\u793e\u533a"", ""\u54c1\u724c\u623f\u4f01"", ""\u5c0f\u6237\u578b""]","[""85""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
隆基泰和铂悦山,https://image1.ljcdn.com/hdic-resblock/a6e00971-1c06-4606-a068-15984e107f98.jpg,保定,涿州,琉璃河隆基泰和铂悦山,"[""3""]","[""101"", ""125""]",1,12000,毛坯,涿州长隆房地产开发有限公司,住宅,2019-01-11 10:42:55,2019-06-15,"[""\u7eff\u5316\u7387\u9ad8"", ""\u4eba\u8f66\u5206\u6d41"", ""\u54c1\u724c\u623f\u4f01"", ""\u5927\u4e09\u5c45""]","[""116"", ""164""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
鹏渤·印象城,https://image1.ljcdn.com/newhouse-user-image/phpYmT19X1543392878.png,保定,涿州,龙马路鹏渤·印象城,"[""2"", ""3""]","[""80"", ""121""]",1,8500,毛坯,涿州市飞腾房地产开发有限公司,住宅,2019-01-11 10:44:18,2020-10-01,"[""\u4f4e\u5355\u4ef7"", ""\u4f4e\u603b\u4ef7"", ""\u7eff\u5316\u7387\u9ad8"", ""\u4eba\u8f66\u5206\u6d41""]","[""70"", ""98""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
IFC国际金融中心,https://image1.ljcdn.com/newhouse-user-image/04ccf0cf759977112ab7229415a497dc.jpg,保定,涿州,鹏程大街IFC国际金融中心,"[""1"", ""2"", ""3""]","[""37"", ""96""]",1,7500,毛坯,涿州千喜鹤房地产开发有限公司,商业类,2019-12-02 17:50:28,2020-05-28,"[""\u4eba\u8f66\u5206\u6d41"", ""\u5927\u578b\u793e\u533a"", ""\u516c\u4ea4\u76f4\u8fbe"", ""\u5c0f\u6237\u578b""]","[""29"", ""76""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
华侨城·城市客厅,https://image1.ljcdn.com/newhouse-user-image/d5baae2eb29db340d05234dcc9e69116.jpg,保定,涿州,河北省保定市涿州市,"[""2"", ""3"", ""4""]","[""85"", ""128""]",1,9000,毛坯,华侨城涿州文化旅游开发有限公司,住宅,2021-04-07 10:46:44,2021-07-15,"[""\u7eff\u5316\u7387\u9ad8"", ""\u4eba\u8f66\u5206\u6d41"", ""\u56fd\u592e\u4f01"", ""\u54c1\u724c\u623f\u4f01""]","[""65"", ""150""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
金域中央,https://image1.ljcdn.com/newhouse-user-image/f9dc103a12e18c26bbb9344e5c7cfede.jpg,保定,涿州,东大街金域中央,"[""2"", ""3""]","[""84"", ""114""]",1,9000,毛坯,涿州市联合房地产开发有限公司,住宅,0000-00-00 00:00:00,2021-01-21,"[""\u4f4e\u603b\u4ef7"", ""\u7eff\u5316\u7387\u9ad8"", ""\u5c01\u95ed\u7ba1\u7406"", ""\u516c\u4ea4\u76f4\u8fbe""]","[""84.52"", ""102""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
天保智慧城,https://image1.ljcdn.com/newhouse-user-image/71fa1598714a32950d5f03171c88a067.jpg,保定,涿州,高新区永济东路北侧、鹏程大街东侧,"[""""]","[""""]",1,5500,毛坯,天保房地产集团有限公司,商业,0000-00-00 00:00:00,2023-04-01,"[""\u8f66\u4f4d\u5145\u8db3"", ""\u5c0f\u578b\u793e\u533a"", ""\u54c1\u724c\u623f\u4f01"", ""\u5373\u5c06\u4ea4\u623f""]","[""24""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
京涿和樾湾,https://image1.ljcdn.com/newhouse-user-image/73ca9af7605a611a9ee9009db45caa29.jpg,保定,涿州,河北省保定市涿州市北港村,"[""2"", ""3""]","[""79"", ""120""]",1,0,毛坯,涿州市华隆众达房地产开发有限公司,住宅,0000-00-00 00:00:00,,"[""\u7eff\u5316\u7387\u9ad8"", ""\u4eba\u8f66\u5206\u6d41"", ""\u5065\u8eab\u8dd1\u9053"", ""\u6c34\u7cfb\u56ed\u6797""]","[""0""]",1,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
中国铁建樾府国际,https://image1.ljcdn.com/newhouse-user-image/0399705da76a57bd4976939dbfe8136b.jpg,保定,涿州,龙马路与腾飞大街交叉口东北侧,"[""2"", ""3""]","[""81"", ""119""]",1,9700,非毛坯,涿州荣富房地产开发有限公司,住宅,0000-00-00 00:00:00,2021-11-10,"[""\u7eff\u5316\u7387\u9ad8"", ""\u4eba\u8f66\u5206\u6d41"", ""\u56fd\u592e\u4f01"", ""\u54c1\u724c\u623f\u4f01""]","[""89"", ""145""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
天地新城,https://image1.ljcdn.com/hdic-resblock/5e71573a-e704-40e2-bf6a-aa29cccfd111.jpg,保定,涿州,冠云路与火炬南街交叉口南行300米,"[""3"", ""4""]","[""87"", ""145""]",1,8500,毛坯,北京田家园房地产开发有限公司涿州分公司,住宅,2017-03-16 15:21:35,2020-09-02,"[""\u4f4e\u5355\u4ef7"", ""\u4f4e\u603b\u4ef7"", ""\u7eff\u5316\u7387\u9ad8"", ""\u4eba\u8f66\u5206\u6d41""]","[""68"", ""142""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
石榴·翡翠山,https://image1.ljcdn.com/hdic-resblock/3275aee7-14bd-46db-8277-6f823ab3ded5.jpg,保定,竞秀区,乐凯大街石榴·翡翠山,"[""2"", ""3"", ""4""]","[""39"", ""68""]",1,8000,毛坯,保定荔枝房地产开发有限公司,商业类,2018-09-11 11:06:19,2018-08-01,"[""\u7eff\u5316\u7387\u9ad8"", ""\u5927\u578b\u793e\u533a"", ""\u54c1\u724c\u623f\u4f01"", ""\u5c0f\u6237\u578b""]","[""85""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
隆基泰和铂悦山,https://image1.ljcdn.com/hdic-resblock/a6e00971-1c06-4606-a068-15984e107f98.jpg,保定,涿州,琉璃河隆基泰和铂悦山,"[""3""]","[""101"", ""125""]",1,12000,毛坯,涿州长隆房地产开发有限公司,住宅,2019-01-11 10:42:55,2019-06-15,"[""\u7eff\u5316\u7387\u9ad8"", ""\u4eba\u8f66\u5206\u6d41"", ""\u54c1\u724c\u623f\u4f01"", ""\u5927\u4e09\u5c45""]","[""116"", ""164""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
鹏渤·印象城,https://image1.ljcdn.com/newhouse-user-image/phpYmT19X1543392878.png,保定,涿州,龙马路鹏渤·印象城,"[""2"", ""3""]","[""80"", ""121""]",1,8500,毛坯,涿州市飞腾房地产开发有限公司,住宅,2019-01-11 10:44:18,2020-10-01,"[""\u4f4e\u5355\u4ef7"", ""\u4f4e\u603b\u4ef7"", ""\u7eff\u5316\u7387\u9ad8"", ""\u4eba\u8f66\u5206\u6d41""]","[""70"", ""98""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
IFC国际金融中心,https://image1.ljcdn.com/newhouse-user-image/04ccf0cf759977112ab7229415a497dc.jpg,保定,涿州,鹏程大街IFC国际金融中心,"[""1"", ""2"", ""3""]","[""37"", ""96""]",1,7500,毛坯,涿州千喜鹤房地产开发有限公司,商业类,2019-12-02 17:50:28,2020-05-28,"[""\u4eba\u8f66\u5206\u6d41"", ""\u5927\u578b\u793e\u533a"", ""\u516c\u4ea4\u76f4\u8fbe"", ""\u5c0f\u6237\u578b""]","[""29"", ""76""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
华侨城·城市客厅,https://image1.ljcdn.com/newhouse-user-image/d5baae2eb29db340d05234dcc9e69116.jpg,保定,涿州,河北省保定市涿州市,"[""2"", ""3"", ""4""]","[""85"", ""128""]",1,9000,毛坯,华侨城涿州文化旅游开发有限公司,住宅,2021-04-07 10:46:44,2021-07-15,"[""\u7eff\u5316\u7387\u9ad8"", ""\u4eba\u8f66\u5206\u6d41"", ""\u56fd\u592e\u4f01"", ""\u54c1\u724c\u623f\u4f01""]","[""65"", ""150""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
金域中央,https://image1.ljcdn.com/newhouse-user-image/f9dc103a12e18c26bbb9344e5c7cfede.jpg,保定,涿州,东大街金域中央,"[""2"", ""3""]","[""84"", ""114""]",1,9000,毛坯,涿州市联合房地产开发有限公司,住宅,0000-00-00 00:00:00,2021-01-21,"[""\u4f4e\u603b\u4ef7"", ""\u7eff\u5316\u7387\u9ad8"", ""\u5c01\u95ed\u7ba1\u7406"", ""\u516c\u4ea4\u76f4\u8fbe""]","[""84.52"", ""102""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
天保智慧城,https://image1.ljcdn.com/newhouse-user-image/71fa1598714a32950d5f03171c88a067.jpg,保定,涿州,高新区永济东路北侧、鹏程大街东侧,"[""""]","[""""]",1,5500,毛坯,天保房地产集团有限公司,商业,0000-00-00 00:00:00,2023-04-01,"[""\u8f66\u4f4d\u5145\u8db3"", ""\u5c0f\u578b\u793e\u533a"", ""\u54c1\u724c\u623f\u4f01"", ""\u5373\u5c06\u4ea4\u623f""]","[""24""]",3,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
京涿和樾湾,https://image1.ljcdn.com/newhouse-user-image/73ca9af7605a611a9ee9009db45caa29.jpg,保定,涿州,河北省保定市涿州市北港村,"[""2"", ""3""]","[""79"", ""120""]",1,0,毛坯,涿州市华隆众达房地产开发有限公司,住宅,0000-00-00 00:00:00,,"[""\u7eff\u5316\u7387\u9ad8"", ""\u4eba\u8f66\u5206\u6d41"", ""\u5065\u8eab\u8dd1\u9053"", ""\u6c34\u7cfb\u56ed\u6797""]","[""0""]",1,https://bd.fang.lianjia.com/loupan/pa1/?_t=1
